,model,dataset,domain,num_variates,prediction_length,frequency,inference_time,time_series_avg_len,num_samples,normalized_inference_time,normalized_time_per_input_output_point,Model,"Dataset, Frequency, Term",dataset_name,term
99,chronos_bolt_small,bizitobs_l2c/5T/long,Web/CloudOps,7,720,5T,0.9503941297531128,29808.0,5,0.0002639983693758647,8.856628065481235e-09,Chr.B.S,"bizitobs_l2c, 5T, long",bizitobs_l2c,long
100,chronos_bolt_small,bizitobs_l2c/5T/medium,Web/CloudOps,7,480,5T,0.8010354518890381,30048.0,7,0.00023840340830030897,7.934085739493776e-09,Chr.B.S,"bizitobs_l2c, 5T, medium",bizitobs_l2c,medium
101,chronos_bolt_small,bizitobs_l2c/5T/short,Web/CloudOps,7,48,5T,0.3386910200119018,31464.0,20,0.00035280314584573106,1.1212914627692953e-08,Chr.B.S,"bizitobs_l2c, 5T, short",bizitobs_l2c,short
102,chronos_bolt_small,bizitobs_l2c/H/long,Web/CloudOps,7,720,H,0.34269189834594727,1944.0,1,0.00047596096992492677,2.4483588987907756e-07,Chr.B.S,"bizitobs_l2c, H, long",bizitobs_l2c,long
103,chronos_bolt_small,bizitobs_l2c/H/medium,Web/CloudOps,7,480,H,0.24108157157897944,2184.0,1,0.0005022532741228738,2.2996944785845873e-07,Chr.B.S,"bizitobs_l2c, H, medium",bizitobs_l2c,medium
104,chronos_bolt_small,bizitobs_l2c/H/short,Web/CloudOps,7,48,H,0.12259509563446043,2496.0,6,0.00042567741539743207,1.7054383629704808e-07,Chr.B.S,"bizitobs_l2c, H, short",bizitobs_l2c,short
105,chronos_bolt_small,bizitobs_service/10S/long,Web/CloudOps,2,900,10S,1.4958308577537536,7935.0,21,7.914448982824093e-05,9.974100797509885e-09,Chr.B.S,"bizitobs_service, 10S, long",bizitobs_service,long
106,chronos_bolt_small,bizitobs_service/10S/medium,Web/CloudOps,2,600,10S,1.816582989692688,7935.0,42,7.208662657510666e-05,9.08464103025919e-09,Chr.B.S,"bizitobs_service, 10S, medium",bizitobs_service,medium
107,chronos_bolt_small,bizitobs_service/10S/short,Web/CloudOps,2,60,10S,1.4355164408683776,8355.0,315,7.59532508395967e-05,9.090754139987636e-09,Chr.B.S,"bizitobs_service, 10S, short",bizitobs_service,short
108,chronos_bolt_small,dominick/long,Sales,1,30,W,51.12274403572083,266.4834123222749,100014,1.703852928447378e-05,6.393842354385659e-08,Chr.B.S,"dominick, W, long",dominick,long
109,chronos_bolt_small,dominick/medium,Sales,1,20,W,51.24576163291931,276.4834123222749,100014,2.5619294115283516e-05,9.266123381543456e-08,Chr.B.S,"dominick, W, medium",dominick,medium
110,chronos_bolt_small,dominick/short,Sales,1,2,W,52.11702194213867,294.4834123222749,100014,0.00026054863290208706,8.847650563657199e-07,Chr.B.S,"dominick, W, short",dominick,short
